CaseID,Len
Case101,1
Case101,10
Case101,11
Case101,12
Case101,13
Case101,14
Case101,15
Case101,16
Case101,17
Case101,2
Case101,3
Case101,4
Case101,5
Case101,6
Case101,7
Case101,8
Case101,9
Case104,1
Case104,2
Case104,3
Case104,4
Case104,5
Case104,6
Case105,1
Case105,2
Case106,1
Case106,2
Case106,3
Case106,4
Case106,5
Case106,6
Case106,7
Case106,8
Case107,1
Case111,1
Case111,10
Case111,11
Case111,12
Case111,13
Case111,14
Case111,15
Case111,16
Case111,2
Case111,3
Case111,4
Case111,5
Case111,6
Case111,7
Case111,8
Case111,9
Case113,1
Case113,2
Case113,3
Case113,4
Case118,1
Case118,2
Case118,3
Case119,1
Case119,10
Case119,11
Case119,2
Case119,3
Case119,4
Case119,5
Case119,6
Case119,7
Case119,8
Case119,9
Case123,1
Case123,2
Case123,3
Case123,4
Case123,5
Case123,6
Case123,7
Case123,8
Case123,9
Case124,1
Case124,10
Case124,2
Case124,3
Case124,4
Case124,5
Case124,6
Case124,7
Case124,8
Case124,9
Case125,1
Case125,2
Case125,3
Case125,4
Case125,5
Case126,1
Case126,2
Case126,3
Case133,1
Case133,2
Case133,3
Case133,4
Case134,1
Case134,2
Case134,3
Case134,4
Case135,1
Case135,10
Case135,11
Case135,12
Case135,13
Case135,14
Case135,2
Case135,3
Case135,4
Case135,5
Case135,6
Case135,7
Case135,8
Case135,9
Case136,1
Case136,2
Case136,3
Case137,1
Case137,2
Case137,3
Case137,4
Case138,1
Case138,2
Case138,3
Case138,4
Case138,5
Case139,1
Case140,1
Case140,2
Case141,1
Case142,1
Case142,2
Case144,1
Case144,2
Case174,1
Case174,2
Case174,3
Case174,4
Case174,5
Case174,6
Case174,7
Case174,8
Case264,1
Case264,10
Case264,11
Case264,12
Case264,13
Case264,2
Case264,3
Case264,4
Case264,5
Case264,6
Case264,7
Case264,8
Case264,9
Case4,1
Case45,1
Case45,2
Case45,3
Case45,4
Case45,5
Case4,10
Case4,2
Case4,3
Case4,4
Case4,5
Case4,6
Case4,7
Case4,8
Case4,9
Case5,1
Case53,1
Case53,2
Case53,3
Case53,4
Case53,5
Case53,6
Case53,7
Case53,8
Case53,9
Case54,1
Case54,2
Case54,3
Case54,4
Case54,5
Case54,6
Case59,1
Case59,2
Case59,3
Case59,4
Case59,5
Case59,6
Case59,7
Case59,8
Case5,2
Case60,1
Case60,10
Case60,11
Case60,12
Case60,13
Case60,2
Case60,3
Case60,4
Case60,5
Case60,6
Case60,7
Case60,8
Case60,9
Case64,1
Case64,2
Case64,3
Case64,4
Case64,5
Case64,6
Case64,7
Case64,8
Case65,1
Case65,2
Case65,3
Case65,4
Case65,5
Case65,6
Case69,1
Case69,2
Case69,3
Case71,1
Case71,2
Case71,3
Case71,4
Case71,5
Case71,6
Case71,7
Case81,1
Case81,2
Case81,3
Case83,1
Case83,10
Case83,11
Case83,12
Case83,13
Case83,14
Case83,15
Case83,2
Case83,3
Case83,4
Case83,5
Case83,6
Case83,7
Case83,8
Case83,9
Case85,1
Case85,2
Case85,3
Case86,1
Case86,2
Case86,3
Case86,4
Case86,5
Case86,6
Case86,7
Case86,8
Case96,1
Case96,2
Case96,3
Case96,4
Case96,5
Case96,6
Case96,7
Case96,8
Case96,9
Case98,1
Case98,2
Case98,3
Case98,4
Case99,1
Case99,2
Case99,3
Case99,4
Case99,5
Case99,6
Case99,7
Case99,8
Case99,9
